Revenue,Quantity,Price,Total Cost,Profit,Order Date,Month,Customer Name,Region,Order Time (IST)
182.91,7,26.13,91.455,91.455,07-Jun-23,June,Customer 592,North,5:07 PM
37.19,1,37.19,32.3553,4.8347,24-Nov-24,November,Customer 4127,East,2:59 PM
409.35,5,81.87,208.7685,200.5815,09-Aug-24,August,Customer 3210,Central,10:14 AM
605.2,10,60.52,351.016,254.184,08-Feb-24,February,Customer 4306,East,2:15 PM
371.69,11,33.79,304.7858,66.9042,19-Mar-24,March,Customer 4347,North,8:57 PM
257.4,3,85.8,195.624,61.776,15-Jan-23,January,Customer 3691,East,6:14 PM
254.8,14,18.2,188.552,66.248,30-Mar-24,March,Customer 1956,East,8:18 PM
63.12,1,63.12,37.872,25.248,08-Oct-23,October,Customer 3092,West,12:50 PM
963.54,18,53.53,520.3116,443.2284,10-Aug-24,August,Customer 2699,East,5:21 PM
975.38,14,69.67,594.9818,380.3982,11-Feb-24,February,Customer 73,West,2:53 PM
346.97,13,26.69,253.2881,93.6819,29-Nov-23,November,Customer 2453,West,9:32 PM
77.16,1,77.16,50.154,27.006,10-Aug-23,August,Customer 3142,South,7:32 PM
176.95,5,35.39,150.4075,26.5425,30-Sep-24,September,Customer 3470,Central,9:23 AM
674.88,19,35.52,445.4208,229.4592,04-Jun-23,June,Customer 2732,Central,10:49 AM
409.1,5,81.82,335.462,73.638,02-Feb-24,February,Customer 2003,Central,3:00 PM
267.3,18,14.85,149.688,117.612,31-Aug-24,August,Customer 3663,West,11:59 AM
274.82,14,19.63,164.892,109.928,30-Jan-24,January,Customer 1151,South,12:25 PM
675,15,45,553.5,121.5,27-May-23,May,Customer 2133,North,6:58 PM
483.8,20,24.19,275.766,208.034,29-Nov-24,November,Customer 257,North,9:16 PM
1217.71,17,71.63,633.2092,584.5008,08-Feb-24,February,Customer 577,Central,10:35 AM
164.79,3,54.93,100.5219,64.2681,11-Sep-23,September,Customer 635,West,1:37 PM
814.91,19,42.89,448.2005,366.7095,23-Aug-23,August,Customer 4951,South,9:18 PM
481.59,9,53.51,414.1674,67.4226,19-Nov-24,November,Customer 3418,Central,12:08 PM
1040.76,18,57.82,624.456,416.304,15-Nov-24,November,Customer 162,East,7:06 PM
726.7,13,55.9,486.889,239.811,30-Oct-24,October,Customer 4039,Central,2:14 PM
601.3,14,42.95,396.858,204.442,04-May-24,May,Customer 3591,Central,3:02 PM
537.48,18,29.86,456.858,80.622,13-Oct-24,October,Customer 3269,North,5:54 PM
140.52,2,70.26,78.6912,61.8288,20-Mar-24,March,Customer 2939,East,7:20 PM
782.1,15,52.14,414.513,367.587,13-Jul-23,July,Customer 1621,South,2:08 PM
690.12,18,38.34,489.9852,200.1348,10-Mar-23,March,Customer 2511,East,11:09 AM
892.06,13,68.62,713.648,178.412,18-Mar-24,March,Customer 443,Central,10:41 AM
186.97,7,26.71,112.182,74.788,16-May-24,May,Customer 2833,North,9:37 PM
1391.79,17,81.87,904.6635,487.1265,27-Oct-24,October,Customer 2529,East,4:40 PM
602.87,19,31.73,446.1238,156.7462,08-Mar-24,March,Customer 3064,Central,4:20 PM
828.96,12,69.08,472.5072,356.4528,03-Feb-23,February,Customer 3864,North,1:58 PM
365.7,6,60.95,215.763,149.937,15-Nov-24,November,Customer 4153,Central,12:48 PM
967.23,11,87.93,822.1455,145.0845,15-May-24,May,Customer 2421,North,10:17 AM
94.45,1,94.45,70.8375,23.6125,17-Oct-24,October,Customer 754,North,12:47 PM
738.4,8,92.3,649.792,88.608,04-Oct-23,October,Customer 3422,North,12:37 PM
332.43,7,47.49,179.5122,152.9178,31-Aug-24,August,Customer 4223,East,8:44 PM
388.25,5,77.65,295.07,93.18,12-Feb-24,February,Customer 1208,East,1:00 PM
123.52,4,30.88,106.2272,17.2928,11-Apr-23,April,Customer 2866,East,7:37 PM
245.05,5,49.01,122.525,122.525,28-Feb-23,February,Customer 4528,West,8:36 PM
268.38,18,14.91,161.028,107.352,28-May-23,May,Customer 3478,Central,4:56 PM
91.12,8,11.39,57.4056,33.7144,12-Dec-24,December,Customer 4337,East,2:18 PM
147.6,6,24.6,75.276,72.324,10-May-24,May,Customer 90,East,9:45 AM
580.08,12,48.34,365.4504,214.6296,20-Jun-24,June,Customer 922,East,11:56 AM
858.84,17,50.52,575.4228,283.4172,19-Mar-23,March,Customer 821,Central,4:02 PM
1035.96,12,86.33,600.8568,435.1032,26-Dec-24,December,Customer 4500,West,1:45 PM
1041.76,16,65.11,937.584,104.176,24-Sep-24,September,Customer 1086,South,10:52 AM
441.87,13,33.99,229.7724,212.0976,10-Jul-24,July,Customer 112,North,10:37 AM
637.12,8,79.64,541.552,95.568,24-Jun-24,June,Customer 776,East,10:16 AM
96.95,7,13.85,82.4075,14.5425,27-Feb-24,February,Customer 2316,North,9:37 PM
210.72,3,70.24,122.2176,88.5024,13-Nov-24,November,Customer 1404,Central,1:32 PM
989.24,14,70.66,514.4048,474.8352,01-Dec-24,December,Customer 1790,West,6:45 PM
96.96,2,48.48,64.9632,31.9968,23-Feb-23,February,Customer 2567,South,1:32 PM
437.84,13,33.68,271.4608,166.3792,16-Nov-24,November,Customer 2180,South,10:50 AM
127.2,12,10.6,105.576,21.624,09-Jun-23,June,Customer 4767,East,6:34 PM
1120.28,14,80.02,873.8184,246.4616,05-Apr-23,April,Customer 2782,Central,10:29 AM
950.9,10,95.09,646.612,304.288,13-Feb-23,February,Customer 1380,West,12:19 PM
1308.15,19,68.85,667.1565,640.9935,17-Aug-24,August,Customer 2601,Central,6:50 PM
472.43,17,27.79,396.8412,75.5888,07-Jul-23,July,Customer 535,West,11:57 AM
1063.68,16,66.48,861.5808,202.0992,26-Aug-24,August,Customer 3283,North,8:38 PM
324.99,9,36.11,289.2411,35.7489,24-Jul-23,July,Customer 4220,East,9:33 AM
998.16,12,83.18,808.5096,189.6504,02-Oct-23,October,Customer 1615,Central,3:11 PM
352,10,35.2,235.84,116.16,29-Feb-24,February,Customer 983,North,1:16 PM
196.11,3,65.37,147.0825,49.0275,25-Aug-23,August,Customer 1126,West,8:18 PM
315.91,7,45.13,281.1599,34.7501,25-Jan-23,January,Customer 3173,East,9:35 PM
151.68,6,25.28,103.1424,48.5376,22-Dec-24,December,Customer 4034,North,3:51 PM
1229.54,13,94.58,1020.5182,209.0218,19-Apr-23,April,Customer 4542,East,2:11 PM
1436.7,15,95.78,862.02,574.68,07-Aug-24,August,Customer 4052,Central,9:01 PM
230.04,9,25.56,195.534,34.506,09-Aug-24,August,Customer 4185,North,6:31 PM
455.52,13,35.04,286.9776,168.5424,21-Aug-23,August,Customer 2239,East,6:58 PM
814.2,20,40.71,488.52,325.68,04-May-23,May,Customer 4382,West,6:09 PM
475.5,15,31.7,361.38,114.12,08-Nov-24,November,Customer 4941,East,10:25 AM
946.7,10,94.67,473.35,473.35,10-Nov-24,November,Customer 3711,South,10:44 AM
713.24,11,64.84,406.5468,306.6932,15-May-24,May,Customer 1367,East,9:44 AM
54.09,3,18.03,37.3221,16.7679,25-Sep-24,September,Customer 4657,West,6:33 PM
699.3,9,77.7,356.643,342.657,01-Oct-24,October,Customer 4465,East,7:18 PM
180.45,3,60.15,147.969,32.481,10-Jul-23,July,Customer 988,North,2:46 PM
643.3,14,45.95,443.877,199.423,27-Oct-23,October,Customer 3214,North,3:16 PM
142.2,9,15.8,76.788,65.412,14-Apr-23,April,Customer 190,South,5:30 PM
631.95,11,57.45,328.614,303.336,22-Oct-23,October,Customer 3737,Central,2:07 PM
172.3,2,86.15,143.009,29.291,07-Feb-23,February,Customer 1388,West,5:28 PM
764,8,95.5,565.36,198.64,25-Sep-24,September,Customer 1160,Central,9:27 PM
1036.56,14,74.04,735.9576,300.6024,13-Jan-23,January,Customer 1646,West,4:09 PM
117.76,8,14.72,81.2544,36.5056,17-Feb-24,February,Customer 3329,East,9:23 AM
418.56,6,69.76,230.208,188.352,06-Sep-24,September,Customer 1239,North,5:34 PM
291.66,6,48.61,169.1628,122.4972,01-May-24,May,Customer 902,South,9:37 AM
206.55,9,22.95,177.633,28.917,24-Jun-24,June,Customer 4696,South,9:38 PM
1453.44,16,90.84,959.2704,494.1696,05-Nov-24,November,Customer 3967,Central,10:39 AM
220.92,4,55.23,183.3636,37.5564,28-Jun-24,June,Customer 1140,West,1:36 PM
241.52,4,60.38,132.836,108.684,26-Mar-24,March,Customer 4877,North,12:15 PM
527.1,6,87.85,305.718,221.382,30-Sep-23,September,Customer 4149,West,4:21 PM
20.94,1,20.94,10.47,10.47,02-Nov-24,November,Customer 787,North,12:52 PM
1046.34,18,58.13,784.755,261.585,12-Oct-23,October,Customer 4446,East,6:01 PM
619.44,8,77.43,458.3856,161.0544,07-Dec-23,December,Customer 566,West,12:08 PM
1215.9,18,67.55,899.766,316.134,21-Oct-24,October,Customer 1428,East,1:12 PM
797.68,8,99.71,494.5616,303.1184,14-Dec-23,December,Customer 1528,East,12:38 PM
229.32,14,16.38,185.7492,43.5708,30-Apr-23,April,Customer 2636,North,8:49 PM
981.9,18,54.55,490.95,490.95,30-Sep-24,September,Customer 2275,South,1:32 PM
1302,15,86.8,924.42,377.58,01-Jan-23,January,Customer 777,Central,4:09 PM
215.27,11,19.57,107.635,107.635,03-Apr-23,April,Customer 3281,North,7:51 PM
1598.2,20,79.91,1374.452,223.748,21-Oct-24,October,Customer 3211,South,9:27 AM
251.25,3,83.75,201,50.25,24-Dec-23,December,Customer 722,South,4:58 PM
842.8,20,42.14,623.672,219.128,26-Apr-23,April,Customer 4126,Central,2:30 PM
186.24,16,11.64,163.8912,22.3488,23-Nov-24,November,Customer 948,East,11:27 AM
250.53,3,83.51,202.9293,47.6007,10-Nov-23,November,Customer 3510,West,11:16 AM
1462.95,15,97.53,1199.619,263.331,27-Feb-24,February,Customer 4797,South,2:32 PM
857.09,13,65.93,548.5376,308.5524,10-Oct-23,October,Customer 1504,West,11:46 AM
393.03,11,35.73,318.3543,74.6757,15-Jan-24,January,Customer 1666,Central,2:49 PM
180.29,11,16.39,126.203,54.087,08-Oct-24,October,Customer 4800,Central,12:29 PM
288.72,6,48.12,202.104,86.616,04-Jul-24,July,Customer 212,South,12:43 PM
333.36,18,18.52,250.02,83.34,15-Nov-23,November,Customer 3876,West,12:11 PM
209.76,8,26.22,157.32,52.44,23-Nov-23,November,Customer 4545,South,7:50 PM
629.64,9,69.96,402.9696,226.6704,13-Dec-24,December,Customer 4452,Central,9:24 PM
1155.24,18,64.18,693.144,462.096,11-Mar-24,March,Customer 1152,North,1:42 PM
428.4,15,28.56,214.2,214.2,09-Mar-23,March,Customer 2628,Central,8:58 PM
424.24,8,53.03,263.0288,161.2112,21-Feb-23,February,Customer 1737,North,9:23 AM
689.52,17,40.56,427.5024,262.0176,06-Mar-24,March,Customer 1030,East,12:31 PM
1767.8,20,88.39,1555.664,212.136,28-Aug-23,August,Customer 3061,Central,4:55 PM
1582,20,79.1,822.64,759.36,13-Jan-24,January,Customer 2430,West,4:40 PM
911.56,13,70.12,683.67,227.89,31-Dec-24,December,Customer 1172,West,2:56 PM
304.8,16,19.05,249.936,54.864,26-May-24,May,Customer 1758,Central,4:11 PM
539.91,7,77.13,421.1298,118.7802,08-Sep-24,September,Customer 3660,East,4:09 PM
514.7,10,51.47,308.82,205.88,12-Dec-24,December,Customer 4186,South,7:27 PM
1525.12,16,95.32,1143.84,381.28,05-Sep-24,September,Customer 1893,North,10:57 AM
205.38,7,29.34,135.5508,69.8292,04-Apr-23,April,Customer 3843,West,2:34 PM
150.26,11,13.66,115.7002,34.5598,31-Jul-23,July,Customer 3052,South,11:03 AM
212.16,8,26.52,173.9712,38.1888,11-Jan-24,January,Customer 3940,South,7:00 PM
1127.65,19,59.35,823.1845,304.4655,04-Mar-24,March,Customer 2104,East,1:42 PM
153,12,12.75,120.87,32.13,18-Apr-23,April,Customer 4010,West,10:14 AM
589.05,15,39.27,506.583,82.467,18-Mar-23,March,Customer 3504,East,11:52 AM
307.8,19,16.2,153.9,153.9,19-Nov-23,November,Customer 4864,West,10:49 AM
41.62,1,41.62,24.5558,17.0642,14-Aug-23,August,Customer 4910,West,7:15 PM
526.44,6,87.74,363.2436,163.1964,22-Jul-23,July,Customer 2468,West,3:38 PM
994.7,14,71.05,835.548,159.152,25-Sep-23,September,Customer 310,West,10:20 AM
1463.53,17,86.09,922.0239,541.5061,05-May-24,May,Customer 212,Central,8:19 PM
426.58,7,60.94,379.6562,46.9238,05-Jan-24,January,Customer 3084,Central,8:36 PM
690.84,18,38.38,386.8704,303.9696,12-Apr-23,April,Customer 569,Central,1:41 PM
89.84,2,44.92,60.1928,29.6472,13-Feb-23,February,Customer 2849,East,3:02 PM
411.03,9,45.67,341.1549,69.8751,11-Feb-23,February,Customer 4395,Central,9:45 AM
883.65,15,58.91,768.7755,114.8745,11-Jul-24,July,Customer 1499,South,1:27 PM
1782.39,19,93.81,926.8428,855.5472,22-May-24,May,Customer 2851,West,9:18 AM
857.88,12,71.49,591.9372,265.9428,09-Mar-24,March,Customer 4099,South,9:24 PM
547.92,9,60.88,432.8568,115.0632,17-Mar-24,March,Customer 3213,North,9:36 AM
122.9,2,61.45,72.511,50.389,06-Nov-23,November,Customer 260,South,11:01 AM
477.36,13,36.72,281.6424,195.7176,17-Jun-24,June,Customer 3278,West,9:40 AM
319.2,20,15.96,210.672,108.528,29-Jan-23,January,Customer 3249,West,10:40 AM
477.54,6,79.59,262.647,214.893,12-Jul-23,July,Customer 1340,Central,10:46 AM
193.8,12,16.15,114.342,79.458,30-Dec-23,December,Customer 1036,South,5:30 PM
163.47,3,54.49,127.5066,35.9634,10-Nov-24,November,Customer 2566,Central,9:34 AM
1347.36,14,96.24,1185.6768,161.6832,10-Nov-23,November,Customer 1433,Central,5:34 PM
217.2,20,10.86,134.664,82.536,02-Jun-24,June,Customer 721,Central,9:50 AM
1233.18,18,68.51,937.2168,295.9632,23-Aug-23,August,Customer 3818,Central,12:04 PM
786.2,10,78.62,416.686,369.514,24-Oct-23,October,Customer 4438,East,1:16 PM
233.49,3,77.83,186.792,46.698,05-Jun-24,June,Customer 2669,Central,6:23 PM
44.89,1,44.89,24.6895,20.2005,31-Oct-24,October,Customer 468,West,10:43 AM
209.66,11,19.06,111.1198,98.5402,17-Aug-24,August,Customer 821,East,9:18 PM
706.96,8,88.37,537.2896,169.6704,09-Oct-24,October,Customer 4569,North,10:34 AM
1958.2,20,97.91,1664.47,293.73,10-May-24,May,Customer 619,East,2:30 PM
423.36,16,26.46,275.184,148.176,24-May-24,May,Customer 3926,East,9:49 AM
778.32,9,86.48,389.16,389.16,24-Mar-23,March,Customer 2337,East,8:18 PM
407.77,11,37.07,313.9829,93.7871,03-Feb-24,February,Customer 1921,North,6:20 PM
427,5,85.4,222.04,204.96,26-Dec-23,December,Customer 1468,North,10:57 AM
17.52,1,17.52,10.8624,6.6576,18-May-23,May,Customer 2925,North,3:14 PM
66.3,2,33.15,47.073,19.227,17-Feb-23,February,Customer 3909,East,4:46 PM
1262.52,18,70.14,1136.268,126.252,11-Oct-24,October,Customer 234,South,6:50 PM
674.94,7,96.42,607.446,67.494,18-Jan-24,January,Customer 4281,East,2:08 PM
165.05,5,33.01,118.836,46.214,23-Aug-24,August,Customer 3203,Central,4:12 PM
1235.04,16,77.19,1025.0832,209.9568,26-Apr-23,April,Customer 3558,Central,7:10 PM
249.12,16,15.57,124.56,124.56,28-Mar-24,March,Customer 1772,North,9:12 PM
1109.03,19,58.37,998.127,110.903,23-Sep-24,September,Customer 2286,Central,6:27 PM
281.94,6,46.99,200.1774,81.7626,27-Jan-24,January,Customer 2650,East,12:00 PM
213.25,5,42.65,138.6125,74.6375,05-Aug-23,August,Customer 3995,West,12:12 PM
1268.93,13,97.61,786.7366,482.1934,27-Nov-23,November,Customer 2438,South,9:47 AM
383.6,5,76.72,310.716,72.884,27-Jun-23,June,Customer 3688,South,5:17 PM
804.3,10,80.43,402.15,402.15,30-Jan-23,January,Customer 4496,West,11:07 AM
567,6,94.5,442.26,124.74,05-Apr-23,April,Customer 1820,South,6:22 PM
1086.99,19,57.21,652.194,434.796,24-Aug-23,August,Customer 3212,Central,10:48 AM
791.73,19,41.67,514.6245,277.1055,28-Jul-24,July,Customer 3197,South,7:25 PM
55.62,2,27.81,45.0522,10.5678,18-Feb-24,February,Customer 3234,West,1:28 PM
845.32,14,60.38,693.1624,152.1576,18-Jun-24,June,Customer 4961,Central,10:51 AM
1364.02,14,97.43,954.814,409.206,22-May-24,May,Customer 3223,South,11:09 AM
169.5,5,33.9,140.685,28.815,12-Oct-23,October,Customer 1688,Central,11:45 AM
786.33,9,87.37,440.3448,345.9852,14-Nov-24,November,Customer 627,East,9:41 AM
39.05,1,39.05,19.9155,19.1345,19-Oct-24,October,Customer 200,South,11:26 AM
1277.92,16,79.87,1047.8944,230.0256,31-Jan-24,January,Customer 2265,East,5:05 PM
161.42,7,23.06,130.7502,30.6698,06-Aug-23,August,Customer 4466,West,6:48 PM
1437.6,16,89.85,1250.712,186.888,23-Sep-23,September,Customer 4367,South,8:10 PM
843.84,12,70.32,497.8656,345.9744,18-Oct-24,October,Customer 4952,East,6:10 PM
312.73,11,28.43,172.0015,140.7285,06-Jan-24,January,Customer 799,South,12:59 PM
113.16,4,28.29,72.4224,40.7376,02-Oct-23,October,Customer 3741,Central,1:50 PM
59.05,1,59.05,50.1925,8.8575,10-Aug-24,August,Customer 3140,East,9:38 PM
714.12,12,59.51,357.06,357.06,03-Nov-23,November,Customer 297,West,5:56 PM
503.2,8,62.9,407.592,95.608,05-Apr-23,April,Customer 368,West,9:49 AM
71.8,1,71.8,56.722,15.078,26-Feb-24,February,Customer 4390,North,8:47 PM
498.3,15,33.22,323.895,174.405,03-Jan-24,January,Customer 2627,East,10:38 AM
217.28,16,13.58,180.3424,36.9376,03-Aug-24,August,Customer 3098,South,9:18 AM
233.05,5,46.61,128.1775,104.8725,06-Feb-23,February,Customer 290,East,9:01 AM
141.95,5,28.39,100.7845,41.1655,21-Apr-24,April,Customer 3123,Central,6:46 PM
84.3,2,42.15,62.382,21.918,14-Jan-24,January,Customer 4089,West,3:55 PM
1439.06,19,75.74,1136.8574,302.2026,12-Jul-23,July,Customer 3600,West,7:57 PM
1645.43,17,96.79,1415.0698,230.3602,24-Oct-24,October,Customer 3008,East,7:06 PM
1193.79,13,91.83,1062.4731,131.3169,04-Jun-23,June,Customer 12,West,7:59 PM
159.92,8,19.99,92.7536,67.1664,04-May-24,May,Customer 3222,North,9:41 AM
490.42,7,70.06,441.378,49.042,25-Mar-23,March,Customer 3971,Central,4:00 PM
526.96,14,37.64,358.3328,168.6272,14-Aug-23,August,Customer 2506,Central,7:06 PM
1646.96,17,96.88,905.828,741.132,11-Aug-23,August,Customer 161,North,2:31 PM
1136,20,56.8,715.68,420.32,31-Dec-24,December,Customer 4574,South,6:46 PM
618.72,12,51.56,550.6608,68.0592,09-Jan-23,January,Customer 3915,West,10:32 AM
1088.62,13,83.74,555.1962,533.4238,18-May-24,May,Customer 4198,North,3:03 PM
239.68,4,59.92,122.2368,117.4432,13-Aug-23,August,Customer 338,Central,5:28 PM
342.58,7,48.94,171.29,171.29,30-Nov-24,November,Customer 714,North,5:35 PM
873.84,12,72.82,515.5656,358.2744,27-Jun-24,June,Customer 3814,North,12:05 PM
561.82,7,80.26,471.9288,89.8912,22-Mar-23,March,Customer 1285,East,9:49 AM
1148.36,19,60.44,574.18,574.18,15-Mar-23,March,Customer 317,North,1:09 PM
960.6,15,64.04,509.118,451.482,18-Feb-23,February,Customer 1421,Central,6:45 PM
403.48,7,57.64,290.5056,112.9744,27-Dec-23,December,Customer 111,South,4:02 PM
1195.18,14,85.37,1051.7584,143.4216,01-Aug-23,August,Customer 1607,Central,7:30 PM
609.8,10,60.98,500.036,109.764,27-Feb-24,February,Customer 763,East,8:32 PM
231.88,17,13.64,146.0844,85.7956,19-Mar-24,March,Customer 772,Central,12:14 PM
973.26,18,54.07,525.5604,447.6996,18-Sep-24,September,Customer 4750,North,12:12 PM
341.52,8,42.69,174.1752,167.3448,04-Jun-24,June,Customer 2406,North,7:48 PM
1594.8,20,79.74,1275.84,318.96,03-Dec-24,December,Customer 4822,South,12:38 PM
112.04,4,28.01,61.622,50.418,06-May-24,May,Customer 4201,South,6:58 PM
457.6,13,35.2,311.168,146.432,13-Jan-23,January,Customer 4627,Central,8:10 PM
468.26,13,36.02,337.1472,131.1128,20-Mar-24,March,Customer 3217,South,4:56 PM
483.45,11,43.95,352.9185,130.5315,16-Feb-23,February,Customer 4916,North,9:50 AM
624.54,14,44.61,562.086,62.454,02-Mar-24,March,Customer 2845,North,6:27 PM
871.64,14,62.26,618.8644,252.7756,09-Jun-24,June,Customer 3928,Central,8:26 PM
359.44,4,89.86,248.0136,111.4264,21-Jan-24,January,Customer 4283,South,10:07 AM
861.2,10,86.12,757.856,103.344,12-May-24,May,Customer 1140,West,10:11 AM
341.8,4,85.45,198.244,143.556,13-Oct-23,October,Customer 1965,East,11:24 AM
1259.18,13,96.86,1095.4866,163.6934,21-Jun-24,June,Customer 2313,North,11:38 AM
743.4,15,49.56,468.342,275.058,18-Jul-23,July,Customer 1005,Central,10:47 AM
406.5,10,40.65,272.355,134.145,11-Jul-24,July,Customer 1761,West,11:57 AM
168.95,5,33.79,89.5435,79.4065,01-Jun-23,June,Customer 812,South,4:42 PM
1249.5,15,83.3,987.105,262.395,02-Oct-23,October,Customer 3097,North,4:17 PM
503.19,9,55.91,322.0416,181.1484,20-Apr-24,April,Customer 1037,Central,3:46 PM
334.64,8,41.83,274.4048,60.2352,31-Oct-24,October,Customer 4391,West,6:48 PM
94.76,1,94.76,77.7032,17.0568,18-Feb-24,February,Customer 3369,East,3:03 PM
615.51,7,87.93,523.1835,92.3265,07-Mar-24,March,Customer 193,Central,7:16 PM
1197.56,13,92.12,598.78,598.78,16-Oct-23,October,Customer 572,East,9:17 AM
1553.6,20,77.68,963.232,590.368,20-Nov-24,November,Customer 3502,West,12:32 PM
1469.65,17,86.45,1175.72,293.93,25-Oct-23,October,Customer 1928,North,5:45 PM
1002.87,11,91.17,601.722,401.148,28-May-23,May,Customer 491,Central,2:39 PM
244.8,8,30.6,173.808,70.992,17-Jun-24,June,Customer 3586,East,2:27 PM
933.3,10,93.33,513.315,419.985,18-Oct-23,October,Customer 3692,Central,5:39 PM
562.4,20,28.12,376.808,185.592,18-Sep-24,September,Customer 1580,South,2:52 PM
646.72,16,40.42,459.1712,187.5488,21-Sep-24,September,Customer 604,West,7:32 PM
509.85,11,46.35,392.5845,117.2655,06-Nov-23,November,Customer 652,Central,8:18 PM
499.32,12,41.61,314.5716,184.7484,02-Nov-23,November,Customer 4645,East,11:49 AM
306.6,7,43.8,153.3,153.3,02-Feb-23,February,Customer 61,East,4:17 PM
327.3,10,32.73,281.478,45.822,11-Jan-23,January,Customer 71,Central,7:32 PM
229.8,6,38.3,174.648,55.152,14-Mar-24,March,Customer 1372,South,12:21 PM
118.26,3,39.42,93.4254,24.8346,22-Jun-24,June,Customer 2029,West,4:03 PM
41.6,4,10.4,28.288,13.312,06-Jun-23,June,Customer 3699,West,3:38 PM
1168.4,20,58.42,1028.192,140.208,01-Apr-23,April,Customer 213,West,5:08 PM
1280.7,15,85.38,845.262,435.438,02-Apr-24,April,Customer 1474,West,11:27 AM
447.4,10,44.74,295.284,152.116,02-Dec-23,December,Customer 1324,Central,4:13 PM
320.21,11,29.11,198.5302,121.6798,07-Aug-23,August,Customer 4388,Central,11:35 AM
67.84,2,33.92,39.3472,28.4928,02-Jul-24,July,Customer 1364,North,6:21 PM
162.18,9,18.02,89.199,72.981,25-May-24,May,Customer 4011,South,9:46 AM
146.46,3,48.82,73.23,73.23,04-May-24,May,Customer 527,North,11:52 AM
389.16,9,43.24,252.954,136.206,12-Mar-24,March,Customer 4116,West,12:31 PM
154.92,2,77.46,119.2884,35.6316,05-Sep-23,September,Customer 1261,West,5:08 PM
263.04,6,43.84,231.4752,31.5648,04-Sep-23,September,Customer 3426,East,2:09 PM
159.44,8,19.93,135.524,23.916,06-Aug-23,August,Customer 855,North,5:41 PM
739.04,16,46.19,465.5952,273.4448,27-Oct-23,October,Customer 3481,South,9:51 PM
100.46,2,50.23,63.2898,37.1702,12-Apr-23,April,Customer 2839,Central,1:15 PM
59.19,3,19.73,36.1059,23.0841,21-Sep-23,September,Customer 3926,South,4:23 PM
305.64,4,76.41,192.5532,113.0868,12-Nov-24,November,Customer 3180,South,11:29 AM
827.97,13,63.69,438.8241,389.1459,02-May-24,May,Customer 1940,North,4:29 PM
1112,16,69.5,633.84,478.16,03-Aug-24,August,Customer 3476,South,5:15 PM
112.98,7,16.14,92.6436,20.3364,10-Mar-23,March,Customer 1086,Central,9:36 PM
959.99,17,56.47,787.1918,172.7982,11-Sep-23,September,Customer 890,Central,7:57 PM
349.3,7,49.9,261.975,87.325,05-Aug-23,August,Customer 660,West,1:31 PM
1137.47,17,66.91,898.6013,238.8687,31-Oct-24,October,Customer 310,West,3:03 PM
344.74,11,31.34,299.9238,44.8162,11-Sep-23,September,Customer 2132,South,9:29 PM
1716.27,19,90.33,892.4604,823.8096,04-Oct-23,October,Customer 457,Central,9:55 PM
1208.62,14,86.33,797.6892,410.9308,05-Mar-23,March,Customer 4217,South,8:57 PM
301.4,10,30.14,168.784,132.616,24-Mar-24,March,Customer 1609,North,9:45 PM
536.16,12,44.68,396.7584,139.4016,16-Jan-24,January,Customer 1743,South,4:20 PM
252.55,5,50.51,194.4635,58.0865,09-Apr-24,April,Customer 34,East,8:22 PM
169.54,14,12.11,103.4194,66.1206,14-Sep-24,September,Customer 3576,South,10:59 AM
282.32,8,35.29,208.9168,73.4032,20-Nov-23,November,Customer 1335,South,5:08 PM
159.54,2,79.77,110.0826,49.4574,21-Feb-23,February,Customer 2341,West,6:05 PM
131.3,5,26.26,84.032,47.268,05-Jan-24,January,Customer 3232,South,10:59 AM
315.72,12,26.31,214.6896,101.0304,21-Dec-23,December,Customer 4624,West,7:05 PM
593.67,11,53.97,492.7461,100.9239,21-Dec-24,December,Customer 4949,Central,2:53 PM
953.28,12,79.44,638.6976,314.5824,21-Oct-24,October,Customer 254,East,2:59 PM
143.82,9,15.98,122.247,21.573,02-May-24,May,Customer 3327,Central,7:51 PM
82.74,7,11.82,60.4002,22.3398,09-Jul-23,July,Customer 3555,Central,9:15 PM
364.35,7,52.05,229.5405,134.8095,12-Dec-23,December,Customer 2477,East,6:37 PM
273.06,9,30.34,166.5666,106.4934,16-Jul-24,July,Customer 361,Central,11:21 AM
659.36,8,82.42,454.9584,204.4016,16-Apr-24,April,Customer 1640,West,6:19 PM
833.51,17,49.03,433.4252,400.0848,20-Oct-24,October,Customer 1119,South,8:52 PM
219.18,6,36.53,195.0702,24.1098,17-Aug-24,August,Customer 4794,North,11:29 AM
57.1,2,28.55,51.39,5.71,14-Apr-24,April,Customer 3954,East,6:44 PM
41.54,2,20.77,25.3394,16.2006,17-Feb-24,February,Customer 1223,Central,10:51 AM
53.9,2,26.95,35.035,18.865,14-Apr-24,April,Customer 177,North,9:31 PM
1591.2,16,99.45,1400.256,190.944,17-Jan-23,January,Customer 420,East,10:38 AM
191.45,7,27.35,130.186,61.264,13-Aug-23,August,Customer 2133,Central,2:53 PM
1140.75,13,87.75,741.4875,399.2625,24-Jul-24,July,Customer 1660,Central,8:41 PM
213.22,7,30.46,170.576,42.644,11-May-24,May,Customer 2500,East,3:19 PM
413.04,8,51.63,280.8672,132.1728,20-Aug-24,August,Customer 3052,East,2:21 PM
1140.66,18,63.37,650.1762,490.4838,17-Jul-23,July,Customer 3500,North,4:00 PM
358.5,5,71.7,190.005,168.495,26-Dec-23,December,Customer 3903,Central,1:02 PM
